Source,Target,Type,Weight,Label,relation,field,evidenceCount
"page:'perfect' gold","category:disambiguation",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold bar","category:items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold bar","category:untradeable items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold bar","category:members' items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold bar","category:quest items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold bar","category:content released in 2002",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold bar","category:smithing",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold bar","category:recipes that use a facility",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold bar","category:family crest",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold bar","category:family pest",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold bar","category:gold",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold bar","category:metal bars",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold bar","action:drop",Directed,2,"has_action","has_action",,1
"page:'perfect' gold ore","page:'perfect' gold bar",Directed,1,"wiki_link","wiki_link",,1
"page:'perfect' gold ore","page:'perfect' gold bar",Directed,4,"lead_link","lead_link",,1
"page:'perfect' gold ore","category:items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold ore","category:untradeable items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold ore","category:members' items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold ore","category:quest items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold ore","category:content released in 2002",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold ore","category:items appearing in drop table",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold ore","category:family crest",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold ore","category:family pest",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold ore","category:gold",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold ore","category:mining",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold ore","category:needs skilling success chart",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold ore","action:drop",Directed,2,"has_action","has_action",,1
"page:'perfect' necklace","page:'perfect' gold bar",Directed,1,"wiki_link","wiki_link",,1
"page:'perfect' necklace","page:'perfect' gold bar",Directed,4,"lead_link","lead_link",,1
"page:'perfect' necklace","page:'perfect' gold",Directed,4,"lead_link","lead_link",,1
"page:'perfect' necklace","category:items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' necklace","category:untradeable items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' necklace","category:members' items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' necklace","category:equipable items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' necklace","category:quest items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' necklace","category:content released in 2002",Directed,0.5,"in_category","in_category",,1
"page:'perfect' necklace","category:neck slot items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' necklace","category:crafting",Directed,0.5,"in_category","in_category",,1
"page:'perfect' necklace","category:recipes that require a tool",Directed,0.5,"in_category","in_category",,1
"page:'perfect' necklace","category:recipes that use a facility",Directed,0.5,"in_category","in_category",,1
"page:'perfect' necklace","category:family crest",Directed,0.5,"in_category","in_category",,1
"page:'perfect' necklace","category:family pest",Directed,0.5,"in_category","in_category",,1
"page:'perfect' necklace","category:necklace",Directed,0.5,"in_category","in_category",,1
"page:'perfect' necklace","category:jewellery",Directed,0.5,"in_category","in_category",,1
"page:'perfect' necklace","category:ruby",Directed,0.5,"in_category","in_category",,1
"page:'perfect' necklace","action:wear",Directed,2,"has_action","has_action",,1
"page:'perfect' necklace","action:drop",Directed,2,"has_action","has_action",,1
"page:'perfect' necklace","slot:neck",Directed,2,"equips_in_slot","equips_in_slot",,1
"page:'perfect' necklace","page:'perfect' gold bar",Directed,3,"requires_material","requires_material",,1
"page:'perfect' ring","page:'perfect' gold bar",Directed,1,"wiki_link","wiki_link",,1
"page:'perfect' ring","page:'perfect' gold bar",Directed,4,"lead_link","lead_link",,1
"page:'perfect' ring","page:'perfect' necklace",Directed,4,"lead_link","lead_link",,1
"page:'perfect' ring","page:'perfect' gold",Directed,4,"lead_link","lead_link",,1
"page:'perfect' ring","category:items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' ring","category:untradeable items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' ring","category:members' items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' ring","category:equipable items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' ring","category:quest items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' ring","category:content released in 2002",Directed,0.5,"in_category","in_category",,1
"page:'perfect' ring","category:ring slot items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' ring","category:crafting",Directed,0.5,"in_category","in_category",,1
"page:'perfect' ring","category:recipes that require a tool",Directed,0.5,"in_category","in_category",,1
"page:'perfect' ring","category:recipes that use a facility",Directed,0.5,"in_category","in_category",,1
"page:'perfect' ring","category:rings",Directed,0.5,"in_category","in_category",,1
"page:'perfect' ring","category:jewellery",Directed,0.5,"in_category","in_category",,1
"page:'perfect' ring","category:ruby",Directed,0.5,"in_category","in_category",,1
"page:'perfect' ring","category:family crest",Directed,0.5,"in_category","in_category",,1
"page:'perfect' ring","category:family pest",Directed,0.5,"in_category","in_category",,1
"page:'perfect' ring","action:wear",Directed,2,"has_action","has_action",,1
"page:'perfect' ring","action:drop",Directed,2,"has_action","has_action",,1
"page:'perfect' ring","slot:ring",Directed,2,"equips_in_slot","equips_in_slot",,1
"page:'perfect' ring","page:'perfect' gold bar",Directed,3,"requires_material","requires_material",,1
"page:(-)","category:suffixes",Directed,0.5,"in_category","in_category",,1
"page:(+)","page:(-)",Directed,1,"wiki_link","wiki_link",,1
"page:(+)","page:(-)",Directed,4,"lead_link","lead_link",,1
"page:(+)","category:suffixes",Directed,0.5,"in_category","in_category",,1
"page:(a)","page:(+)",Directed,1,"wiki_link","wiki_link",,1
"page:(a)","page:(-)",Directed,1,"wiki_link","wiki_link",,1
"page:(a)","category:suffixes",Directed,0.5,"in_category","in_category",,1
