Id,Label,kind,primaryType,types,url,dateAdded,dateRemoved,members,tradeable,equipable,indegree,outdegree,weightedIndegree,weightedOutdegree,pageLinkIndegree,pageLinkOutdegree,pageRank,pageLinkPageRank
"page:'perfect' gold","'perfect' gold","page","article","article","https://oldschool.runescape.wiki/w/'perfect'_gold",,,,,,2,1,8,0.5,2,0,0.000044395953542140576,0.00007572524753988946
"category:disambiguation","Disambiguation","category",,,,,,,,,1700,0,850,0,0,0,0.024438890584660488,0.00002436271913930712
"page:'perfect' gold bar","'perfect' gold bar","page","item","item","https://oldschool.runescape.wiki/w/'perfect'_gold_bar","2002-04-09",,"true","false","false",37,12,53,7.5,35,0,0.00015020793327372257,0.00023570677596184943
"category:items","Items","category",,,,,,,,,2157,0,1078.5,0,0,0,0.0022164366204255595,0.00002436271913930712
"category:untradeable items","Untradeable items","category",,,,,,,,,1146,0,573,0,0,0,0.001383706174982298,0.00002436271913930712
"category:members' items","Members' items","category",,,,,,,,,1031,0,515.5,0,0,0,0.000718988336590552,0.00002436271913930712
"category:quest items","Quest items","category",,,,,,,,,400,0,200,0,0,0,0.0003231399129966757,0.00002436271913930712
"category:content released in 2002","Content released in 2002","category",,,,,,,,,1102,0,551,0,0,0,0.0008419667867314392,0.00002436271913930712
"category:smithing","Smithing","category",,,,,,,,,164,0,82,0,0,0,0.000135028304913736,0.00002436271913930712
"category:recipes that use a facility","Recipes that use a facility","category",,,,,,,,,351,0,175.5,0,0,0,0.0003411361176510372,0.00002436271913930712
"category:family crest","Family Crest","category",,,,,,,,,21,0,10.5,0,0,0,0.0000480495650803748,0.00002436271913930712
"category:family pest","Family Pest","category",,,,,,,,,21,0,10.5,0,0,0,0.0000480495650803748,0.00002436271913930712
"category:gold","Gold","category",,,,,,,,,21,0,10.5,0,0,0,0.00009982410282498853,0.00002436271913930712
"category:metal bars","Metal bars","category",,,,,,,,,11,0,5.5,0,0,0,0.00005061799780508145,0.00002436271913930712
"action:drop","Drop","action",,,,,,,,,1584,0,3156,0,0,0,0.004817950329282475,0.00002436271913930712
"page:'perfect' gold ore","'perfect' gold ore","page","item","item","https://oldschool.runescape.wiki/w/'perfect'_gold_ore","2002-04-09",,"true","false","false",27,14,33,12.5,27,2,0.00007043043765875367,0.00007969073805640186
"category:items appearing in drop table","Items appearing in drop table","category",,,,,,,,,834,0,417,0,0,0,0.0007195035181445398,0.00002436271913930712
"category:mining","Mining","category",,,,,,,,,122,0,61,0,0,0,0.00011323921345141315,0.00002436271913930712
"category:needs skilling success chart","Needs skilling success chart","category",,,,,,,,,43,0,21.5,0,0,0,0.00006620392295783717,0.00002436271913930712
"page:'perfect' necklace","'perfect' necklace","page","item","item","https://oldschool.runescape.wiki/w/'perfect'_necklace","2002-04-09",,"true","false","true",23,22,29,25.5,23,3,0.00007245482269087458,0.00008634001141501415
"category:equipable items","Equipable items","category",,,,,,,,,511,0,255.5,0,0,0,0.0003404604335244723,0.00002436271913930712
"category:neck slot items","Neck slot items","category",,,,,,,,,34,0,17,0,0,0,0.0000609913320637089,0.00002436271913930712
"category:crafting","Crafting","category",,,,,,,,,124,0,62,0,0,0,0.00016569704433022707,0.00002436271913930712
"category:recipes that require a tool","Recipes that require a tool","category",,,,,,,,,272,0,136,0,0,0,0.00024681734794478136,0.00002436271913930712
"category:necklace","Necklace","category",,,,,,,,,11,0,5.5,0,0,0,0.00003458630847501072,0.00002436271913930712
"category:jewellery","Jewellery","category",,,,,,,,,53,0,26.5,0,0,0,0.00015699910217517455,0.00002436271913930712
"category:ruby","Ruby","category",,,,,,,,,10,0,5,0,0,0,0.000032949038500659325,0.00002436271913930712
"action:wear","Wear","action",,,,,,,,,315,0,630,0,0,0,0.0008772074908428562,0.00002436271913930712
"slot:neck","neck","slot",,,,,,,,,34,0,68,0,0,0,0.0001632538666433405,0.00002436271913930712
"page:'perfect' ring","'perfect' ring","page","item","item","https://oldschool.runescape.wiki/w/'perfect'_ring","2002-04-09",,"true","false","true",21,23,24,29.5,21,4,0.00006794967977378344,0.00007167250892898221
"category:ring slot items","Ring slot items","category",,,,,,,,,12,0,6,0,0,0,0.000031340117474557434,0.00002436271913930712
"category:rings","Rings","category",,,,,,,,,18,0,9,0,0,0,0.000055623291195813155,0.00002436271913930712
"slot:ring","ring","slot",,,,,,,,,12,0,24,0,0,0,0.00004464900828673466,0.00002436271913930712
"page:(-)","(-)","page","article","article","https://oldschool.runescape.wiki/w/(-)",,,,,,41,1,44,0.5,41,0,0.0005938076254154617,0.0007184754493445196
"category:suffixes","Suffixes","category",,,,,,,,,64,0,32,0,0,0,0.0011390528293262218,0.00002436271913930712
"page:(+)","(+)","page","article","article","https://oldschool.runescape.wiki/w/(%2B)",,,,,,39,3,39,5.5,39,2,0.00033496837709646516,0.00038836435809877913
"page:(a)","(a)","page","article","article","https://oldschool.runescape.wiki/w/(a)",,,,,,49,3,49,2.5,49,2,0.00034903226286664706,0.0003873303708334198
"page:(attuned)","(attuned)","page","article","article","https://oldschool.runescape.wiki/w/(attuned)",,,,,,35,4,35,3.5,35,3,0.00015623398053059482,0.00015571922891125865
"page:(b)","(b)","page","article","article","https://oldschool.runescape.wiki/w/(b)",,,,,,34,5,34,4.5,34,4,0.00013141175630008127,0.0001284281983486733
"page:(basic)","(basic)","page","article","article","https://oldschool.runescape.wiki/w/(basic)",,,,,,33,6,33,5.5,33,5,0.00011382120426287654,0.00010976767783658609
"page:(beginner)","(beginner)","page","article","article","https://oldschool.runescape.wiki/w/(beginner)",,,,,,32,7,32,6.5,32,6,0.00010065820651950825,0.00009614686742521549
"page:(bh)","(bh)","page","article","article","https://oldschool.runescape.wiki/w/(bh)",,,,,,31,8,31,7.5,31,7,0.00009041156183146057,0.00008573606137429901
"page:(blue)","(blue)","page","article","article","https://oldschool.runescape.wiki/w/(blue)",,,,,,31,2,31,1.5,31,1,0.00009041156183146057,0.00008573606137429901
"page:(broken)","(broken)","page","article","article","https://oldschool.runescape.wiki/w/(broken)",,,,,,34,2,40,1,34,0,0.00012949547309647514,0.0001271525744186568
"category:incomplete articles","Incomplete articles","category",,,,,,,,,66,0,33,0,0,0,0.0002972939925694946,0.00002436271913930712
"page:(c)","(c)","page","article","article","https://oldschool.runescape.wiki/w/(c)",,,,,,30,11,30,10.5,30,10,0.0000836406513709848,0.00007901941418644551
"page:(cr)","(cr)","page","article","article","https://oldschool.runescape.wiki/w/(cr)",,,,,,29,12,29,11.5,29,11,0.00007788400694695736,0.0000733513587830072
"page:(d)","(d)","page","article","article","https://oldschool.runescape.wiki/w/(d)",,,,,,29,4,29,3.5,29,3,0.00007788400694695736,0.0000733513587830072
"page:(dark)","(dark)","page","article","article","https://oldschool.runescape.wiki/w/(dark)",,,,,,26,14,29,13.5,26,13,0.00007166958450614424,0.00006716255367571064
"page:(deadman)","(deadman)","page","article","article","https://oldschool.runescape.wiki/w/(deadman)",,,,,,24,14,24,13.5,24,13,0.00006252228612497061,0.00005853411345813611
"page:(dry)","(dry)","page","article","article","https://oldschool.runescape.wiki/w/(dry)",,,,,,23,16,23,15.5,23,15,0.000059271891915512986,0.000055395064010923624
"page:(dusk)","(dusk)","page","article","article","https://oldschool.runescape.wiki/w/(dusk)",,,,,,22,17,22,16.5,22,16,0.00005636808155584357,0.000052600658212425656
"page:(e)","(e)","page","article","article","https://oldschool.runescape.wiki/w/(e)",,,,,,22,1,25,0.5,22,0,0.00006114628890366048,0.00005706748869483976
"page:(easy)","(easy)","page","article","article","https://oldschool.runescape.wiki/w/(easy)",,,,,,21,14,21,13.5,21,13,0.000053828450198721564,0.000050164736520780125
"page:(elite)","(elite)","page","article","article","https://oldschool.runescape.wiki/w/(elite)",,,,,,20,18,20,17.5,20,17,0.00005228652667296667,0.00004871851313576166
