Source,Target,Type,Weight,Label,relation,field,evidenceCount
"page:'perfect' gold bar","category:items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold bar","category:untradeable items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold bar","category:members' items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold bar","category:quest items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold bar","category:content released in 2002",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold bar","category:smithing",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold bar","category:recipes that use a facility",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold bar","category:family crest",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold bar","category:family pest",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold bar","category:gold",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold bar","category:metal bars",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold bar","action:drop",Directed,2,"has_action","has_action",,1
"page:'perfect' gold ore","page:'perfect' gold bar",Directed,1,"wiki_link","wiki_link",,1
"page:'perfect' gold ore","page:'perfect' gold bar",Directed,4,"lead_link","lead_link",,1
"page:'perfect' gold ore","category:items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold ore","category:untradeable items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold ore","category:members' items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold ore","category:quest items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold ore","category:content released in 2002",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold ore","category:items appearing in drop table",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold ore","category:family crest",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold ore","category:family pest",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold ore","category:gold",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold ore","category:mining",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold ore","category:needs skilling success chart",Directed,0.5,"in_category","in_category",,1
"page:'perfect' gold ore","action:drop",Directed,2,"has_action","has_action",,1
"page:'perfect' necklace","page:'perfect' gold bar",Directed,1,"wiki_link","wiki_link",,1
"page:'perfect' necklace","page:'perfect' gold bar",Directed,4,"lead_link","lead_link",,1
"page:'perfect' necklace","category:items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' necklace","category:untradeable items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' necklace","category:members' items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' necklace","category:equipable items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' necklace","category:quest items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' necklace","category:content released in 2002",Directed,0.5,"in_category","in_category",,1
"page:'perfect' necklace","category:neck slot items",Directed,0.5,"in_category","in_category",,1
"page:'perfect' necklace","category:crafting",Directed,0.5,"in_category","in_category",,1
