Id,Label,kind,primaryType,types,url,dateAdded,dateRemoved,members,tradeable,equipable,indegree,outdegree,weightedIndegree,weightedOutdegree,pageLinkIndegree,pageLinkOutdegree,pageRank,pageLinkPageRank
"page:'perfect' gold bar","'perfect' gold bar","page","item","item","https://oldschool.runescape.wiki/w/'perfect'_gold_bar","2002-04-09",,"true","false","false",31,12,44,7.5,29,0,0.0006913853978111194,0.0054767151565631705
"category:items","Items","category",,,,,,,,,1609,0,804.5,0,0,0,0.006499676981526119,0.00007764845047308417
"category:untradeable items","Untradeable items","category",,,,,,,,,606,0,303,0,0,0,0.0025191900182304854,0.00007764845047308417
"category:members' items","Members' items","category",,,,,,,,,1015,0,507.5,0,0,0,0.0036583989686085113,0.00007764845047308417
"category:quest items","Quest items","category",,,,,,,,,397,0,198.5,0,0,0,0.001882481231417433,0.00007764845047308417
"category:content released in 2002","Content released in 2002","category",,,,,,,,,1102,0,551,0,0,0,0.005550463835696471,0.00007764845047308417
"category:smithing","Smithing","category",,,,,,,,,157,0,78.5,0,0,0,0.0005509167499792328,0.00007764845047308417
"category:recipes that use a facility","Recipes that use a facility","category",,,,,,,,,347,0,173.5,0,0,0,0.001451031620872039,0.00007764845047308417
"category:family crest","Family Crest","category",,,,,,,,,20,0,10,0,0,0,0.0001874455509155586,0.00007764845047308417
"category:family pest","Family Pest","category",,,,,,,,,20,0,10,0,0,0,0.0001874455509155586,0.00007764845047308417
"category:gold","Gold","category",,,,,,,,,21,0,10.5,0,0,0,0.00046459126492595323,0.00007764845047308417
"category:metal bars","Metal bars","category",,,,,,,,,10,0,5,0,0,0,0.00019473969207382176,0.00007764845047308417
"action:drop","Drop","action",,,,,,,,,1578,0,3144,0,0,0,0.02509930903217396,0.00007764845047308417
"page:'perfect' gold ore","'perfect' gold ore","page","item","item","https://oldschool.runescape.wiki/w/'perfect'_gold_ore","2002-04-09",,"true","false","false",24,14,30,12.5,24,2,0.00027998443534084567,0.0014492923642513977
"category:items appearing in drop table","Items appearing in drop table","category",,,,,,,,,823,0,411.5,0,0,0,0.0034494379764477925,0.00007764845047308417
"category:mining","Mining","category",,,,,,,,,93,0,46.5,0,0,0,0.0005194073648554381,0.00007764845047308417
"category:needs skilling success chart","Needs skilling success chart","category",,,,,,,,,42,0,21,0,0,0,0.00037351401746146785,0.00007764845047308417
"page:'perfect' necklace","'perfect' necklace","page","item","item","https://oldschool.runescape.wiki/w/'perfect'_necklace","2002-04-09",,"true","false","true",18,21,24,21.5,18,2,0.00021644819485088624,0.0008652221113075684
"category:equipable items","Equipable items","category",,,,,,,,,507,0,253.5,0,0,0,0.0013883777132885067,0.00007764845047308417
"category:neck slot items","Neck slot items","category",,,,,,,,,33,0,16.5,0,0,0,0.00023811389499418253,0.00007764845047308417
"category:crafting","Crafting","category",,,,,,,,,115,0,57.5,0,0,0,0.0006537115787933481,0.00007764845047308417
"category:recipes that require a tool","Recipes that require a tool","category",,,,,,,,,266,0,133,0,0,0,0.0008076216197588068,0.00007764845047308417
"category:necklace","Necklace","category",,,,,,,,,9,0,4.5,0,0,0,0.00010508973639030368,0.00007764845047308417
"category:jewellery","Jewellery","category",,,,,,,,,43,0,21.5,0,0,0,0.0002313964792893328,0.00007764845047308417
"category:ruby","Ruby","category",,,,,,,,,10,0,5,0,0,0,0.0001089245802029497,0.00007764845047308417
"action:wear","Wear","action",,,,,,,,,315,0,630,0,0,0,0.0037497224712330097,0.00007764845047308417
"slot:neck","neck","slot",,,,,,,,,33,0,66,0,0,0,0.0006859310384115206,0.00007764845047308417
"page:'perfect' ring","'perfect' ring","page","item","item","https://oldschool.runescape.wiki/w/'perfect'_ring","2002-04-09",,"true","false","true",17,22,20,25.5,17,3,0.00034238313755306196,0.0015808157040811837
"category:ring slot items","Ring slot items","category",,,,,,,,,12,0,6,0,0,0,0.00010669891472652911,0.00007764845047308417
"category:rings","Rings","category",,,,,,,,,12,0,6,0,0,0,0.00010669891472652911,0.00007764845047308417
"slot:ring","ring","slot",,,,,,,,,12,0,24,0,0,0,0.00016027111734090682,0.00007764845047308417
"page:a scribbled note","A scribbled note","page","item","item","https://oldschool.runescape.wiki/w/A_scribbled_note","2003-08-20",,"true","false","false",58,9,61,7.5,58,0,0.000525452462936618,0.0018665443110758501
"category:content released in 2003","Content released in 2003","category",,,,,,,,,617,0,308.5,0,0,0,0.002923457023082854,0.00007764845047308417
"category:legends' quest","Legends' Quest","category",,,,,,,,,93,0,46.5,0,0,0,0.0005697879020429208,0.00007764845047308417
"category:texts and tomes","Texts and tomes","category",,,,,,,,,34,0,17,0,0,0,0.0003009114108996246,0.00007764845047308417
"action:read","Read","action",,,,,,,,,161,0,321,0,0,0,0.0025689596968234167,0.00007764845047308417
"page:a scruffy note","A scruffy note","page","item","item","https://oldschool.runescape.wiki/w/A_scruffy_note","2002-08-27",,"true","false","false",24,10,24,8,24,0,0.0005057047170041681,0.0032932551109228756
"category:items that cannot be alchemised","Items that cannot be alchemised","category",,,,,,,,,51,0,25.5,0,0,0,0.0005572989192538763,0.00007764845047308417
"category:plague city","Plague City","category",,,,,,,,,29,0,14.5,0,0,0,0.00039945023646216417,0.00007764845047308417
"page:a small key","A small key","page","item","item","https://oldschool.runescape.wiki/w/A_small_key","2002-08-27",,"true","false","false",25,8,28,5.5,25,0,0.0005298696087727748,0.00332625570245184
"category:keys","Keys","category",,,,,,,,,50,0,25,0,0,0,0.0003235492861928856,0.00007764845047308417
"page:a stone bowl","A stone bowl","page","item","item","https://oldschool.runescape.wiki/w/A_stone_bowl","2004-06-02",,"true","false","false",15,8,21,5.5,15,0,0.0001982974546794722,0.00040014590583290453
"category:content released in 2004","Content released in 2004","category",,,,,,,,,1041,0,520.5,0,0,0,0.004638700962896252,0.00007764845047308417
"category:elemental workshop i","Elemental Workshop I","category",,,,,,,,,23,0,11.5,0,0,0,0.00019033199558950623,0.00007764845047308417
"page:a used spell","A used spell","page","item","item","https://oldschool.runescape.wiki/w/A_used_spell","2004-07-13",,"true","false","false",20,7,26,5,20,0,0.00027365012340702663,0.0004974433390045332
"category:nature spirit","Nature Spirit","category",,,,,,,,,24,0,12,0,0,0,0.0002151058022835728,0.00007764845047308417
"page:a wooden log","A wooden log","page","scenery","scenery","https://oldschool.runescape.wiki/w/A_wooden_log","2003-01-27",,"true",,,13,7,13,5,13,0,0.0001512905742883253,0.0001671295410614823
"category:scenery","Scenery","category",,,,,,,,,671,0,335.5,0,0,0,0.002971008457935557,0.00007764845047308417
"category:interactive scenery","Interactive scenery","category",,,,,,,,,465,0,232.5,0,0,0,0.002087698045460264,0.00007764845047308417
"category:members' scenery","Members' scenery","category",,,,,,,,,505,0,252.5,0,0,0,0.0021672804873053065,0.00007764845047308417
"category:agility","Agility","category",,,,,,,,,64,0,32,0,0,0,0.0015834310942510867,0.00007764845047308417
"category:agility shortcut","Agility shortcut","category",,,,,,,,,19,0,9.5,0,0,0,0.0001422118379184936,0.00007764845047308417
"action:cross","Cross","action",,,,,,,,,4,0,8,0,0,0,0.00016921927388708626,0.00007764845047308417
"page:a'abla","A'abla","page","npc","npc","https://oldschool.runescape.wiki/w/A'abla","2004-03-25",,"false",,,17,6,23,6,17,0,0.00026306496242350843,0.0006009638570728391
"category:non-player characters","Non-player characters","category",,,,,,,,,560,0,280,0,0,0,0.003027118153051278,0.00007764845047308417
"category:free-to-play npcs","Free-to-play NPCs","category",,,,,,,,,203,0,101.5,0,0,0,0.0009904928669440987,0.00007764845047308417
"category:emir's arena","Emir's Arena","category",,,,,,,,,15,0,7.5,0,0,0,0.00017436509150787582,0.00007764845047308417
"action:talk-to","Talk-to","action",,,,,,,,,542,0,1047.5,0,0,0,0.010247110184200776,0.00007764845047308417
"action:heal","Heal","action",,,,,,,,,4,0,8,0,0,0,0.00019091674651007293,0.00007764845047308417
"page:aaron's archery appendages.","Aaron's Archery Appendages.","page","shop","shop","https://oldschool.runescape.wiki/w/Aaron's_Archery_Appendages.","2004-01-21",,"true",,,9,4,16,2,9,0,0.00019763821226003706,0.0002638963431200714
"category:shops","Shops","category",,,,,,,,,112,0,56,0,0,0,0.0004792743877972722,0.00007764845047308417
"category:members' shops","Members' shops","category",,,,,,,,,65,0,32.5,0,0,0,0.00037435215660275127,0.00007764845047308417
"category:ranging guild","Ranging Guild","category",,,,,,,,,23,0,11.5,0,0,0,0.00022580460981225977,0.00007764845047308417
"page:abbot langley","Abbot Langley","page","npc","npc","https://oldschool.runescape.wiki/w/Abbot_Langley","2001-07-12",,"false",,,8,7,8,5,8,0,0.00021573253166494737,0.0003407542721740405
"category:content released in 2001","Content released in 2001","category",,,,,,,,,860,0,430,0,0,0,0.0059030611658339215,0.00007764845047308417
"category:cryptic npcs","Cryptic NPCs","category",,,,,,,,,67,0,33.5,0,0,0,0.0004539868866287615,0.00007764845047308417
"category:edgeville monastery","Edgeville Monastery","category",,,,,,,,,6,0,3,0,0,0,0.00013554345004948044,0.00007764845047308417
"category:saradominists","Saradominists","category",,,,,,,,,35,0,17.5,0,0,0,0.00029678036665514083,0.00007764845047308417
"page:achey tree","Achey Tree","page","scenery","scenery","https://oldschool.runescape.wiki/w/Achey_Tree","2004-05-18",,"true",,,14,7,23,5,14,0,0.0004041795971178431,0.0028796556644438745
"category:woodcutting","Woodcutting","category",,,,,,,,,54,0,27,0,0,0,0.0003258475368723829,0.00007764845047308417
"category:trees","Trees","category",,,,,,,,,27,0,13.5,0,0,0,0.0002321032532391162,0.00007764845047308417
"action:chop","Chop","action",,,,,,,,,4,0,7.5,0,0,0,0.00023722947363803514,0.00007764845047308417
"page:achey tree logs","Achey tree logs","page","item","item","https://oldschool.runescape.wiki/w/Achey_tree_logs","2004-05-18",,"true","true","false",29,17,34,13.5,28,1,0.0006296726048723985,0.0028890771428235758
"category:noteable items","Noteable items","category",,,,,,,,,925,0,462.5,0,0,0,0.003393645885274325,0.00007764845047308417
"category:tradeable items","Tradeable items","category",,,,,,,,,1012,0,506,0,0,0,0.004096352457332456,0.00007764845047308417
"category:grand exchange items","Grand Exchange items","category",,,,,,,,,917,0,458.5,0,0,0,0.003450457044828455,0.00007764845047308417
"category:firemaking","Firemaking","category",,,,,,,,,17,0,8.5,0,0,0,0.00019578878729306837,0.00007764845047308417
"category:logs","Logs","category",,,,,,,,,8,0,4,0,0,0,0.00012852401578961265,0.00007764845047308417
"category:fletching","Fletching","category",,,,,,,,,79,0,39.5,0,0,0,0.00038214830690402944,0.00007764845047308417
"category:big chompy bird hunting","Big Chompy Bird Hunting","category",,,,,,,,,23,0,11.5,0,0,0,0.0003137993998241341,0.00007764845047308417
"page:achey tree stump","Achey Tree stump","page","scenery","scenery","https://oldschool.runescape.wiki/w/Achey_Tree_stump","2004-05-18",,"true",,,0,7,0,9,0,2,0.00008884151385506988,0.00007764845047308417
"category:non-interactive scenery","Non-interactive scenery","category",,,,,,,,,203,0,101.5,0,0,0,0.000967135290074883,0.00007764845047308417
"action:none","None","action",,,,,,,,,331,0,628,0,0,0,0.0045960362905146145,0.00007764845047308417
"page:achietties","Achietties","page","npc","npc","https://oldschool.runescape.wiki/w/Achietties","2002-02-27",,"true",,,36,9,49,6,36,0,0.00047668013578841626,0.0019216968348260085
"category:members' npcs","Members' NPCs","category",,,,,,,,,364,0,182,0,0,0,0.0021374792108452456,0.00007764845047308417
"category:quest npcs","Quest NPCs","category",,,,,,,,,319,0,159.5,0,0,0,0.0019127637653073883,0.00007764845047308417
"category:content released in 2018","Content released in 2018","category",,,,,,,,,9,0,4.5,0,0,0,0.0002201582193866241,0.00007764845047308417
"category:dragon slayer ii","Dragon Slayer II","category",,,,,,,,,6,0,3,0,0,0,0.00018928919933947172,0.00007764845047308417
"category:heroes' quest","Heroes' Quest","category",,,,,,,,,33,0,16.5,0,0,0,0.0002657390849369894,0.00007764845047308417
"category:heroes' guild","Heroes' Guild","category",,,,,,,,,11,0,5.5,0,0,0,0.00015256960135219023,0.00007764845047308417
"page:adamant 2h sword","Adamant 2h sword","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_2h_sword","2001-01-04",,"false","true","true",10,22,16,16.5,10,0,0.0002277318935122767,0.0005908559784059024
"category:free-to-play items","Free-to-play items","category",,,,,,,,,610,0,305,0,0,0,0.0029875596579108494,0.00007764845047308417
"category:two-handed slot items","Two-handed slot items","category",,,,,,,,,35,0,17.5,0,0,0,0.00014399439422033519,0.00007764845047308417
"category:items needed for an emote clue","Items needed for an emote clue","category",,,,,,,,,152,0,76,0,0,0,0.000648388987613513,0.00007764845047308417
"category:items dropped by monster","Items dropped by monster","category",,,,,,,,,603,0,301.5,0,0,0,0.002533391581884131,0.00007764845047308417
"category:slash weapons","Slash weapons","category",,,,,,,,,42,0,21,0,0,0,0.0001584413013644961,0.00007764845047308417
"category:melee weapons","Melee weapons","category",,,,,,,,,83,0,41.5,0,0,0,0.00023992436504329534,0.00007764845047308417
"category:weapons","Weapons","category",,,,,,,,,156,0,78,0,0,0,0.00045450301497606063,0.00007764845047308417
"category:adamant","Adamant","category",,,,,,,,,39,0,19.5,0,0,0,0.0002951091476687212,0.00007764845047308417
"action:wield","Wield","action",,,,,,,,,194,0,387.5,0,0,0,0.0016690051374073126,0.00007764845047308417
"slot:2h","2h","slot",,,,,,,,,35,0,70,0,0,0,0.0003094530353161311,0.00007764845047308417
"combat_style:2h sword","2h Sword","combat_style",,,,,,,,,7,0,10.5,0,0,0,0.00013475749505930426,0.00007764845047308417
"page:adamant arrow","Adamant arrow","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_arrow","2002-03-25",,"false","true","true",32,19,52,14,31,0,0.0003226890753592948,0.000664014536596068
"category:stackable items","Stackable items","category",,,,,,,,,110,0,55,0,0,0,0.0008849910235576329,0.00007764845047308417
"category:content released in 2005","Content released in 2005","category",,,,,,,,,99,0,49.5,0,0,0,0.0004682524684051759,0.00007764845047308417
"category:ammunition slot items","Ammunition slot items","category",,,,,,,,,24,0,12,0,0,0,0.0001540070532341385,0.00007764845047308417
"category:arrows","Arrows","category",,,,,,,,,20,0,10,0,0,0,0.0001396834568000064,0.00007764845047308417
"category:weapons that inflict poison","Weapons that inflict poison","category",,,,,,,,,42,0,21,0,0,0,0.0001934385697479533,0.00007764845047308417
"slot:ammo","ammo","slot",,,,,,,,,24,0,48,0,0,0,0.0003495036713713443,0.00007764845047308417
"page:adamant arrowtips","Adamant arrowtips","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_arrowtips","2002-03-25",,"true","true","false",7,17,7,14,7,2,0.00013133886349962943,0.0001913688560733714
"page:adamant axe","adamant axe","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_axe","2001-01-04",,"false","true","true",7,21,22,16,7,0,0.00017712736833765293,0.0007984665092821248
"category:weapon slot items","Weapon slot items","category",,,,,,,,,148,0,74,0,0,0,0.00041441314582485694,0.00007764845047308417
"category:axes","Axes","category",,,,,,,,,22,0,11,0,0,0,0.00016254131925025984,0.00007764845047308417
"category:tools","Tools","category",,,,,,,,,72,0,36,0,0,0,0.0006268459237242944,0.00007764845047308417
"slot:weapon","weapon","slot",,,,,,,,,148,0,296,0,0,0,0.0013911280417342178,0.00007764845047308417
"combat_style:axe","Axe","combat_style",,,,,,,,,15,0,22.5,0,0,0,0.0001885593974675235,0.00007764845047308417
"page:adamant axe head","Adamant axe head","page","item","item","https://oldschool.runescape.wiki/w/Adamant_axe_head","2004-03-29","2007-07-17","false","true","false",17,14,17,8.5,17,0,0.0001654004182624383,0.0002531685176466318
"category:pages using information from game apis or cache","Pages using information from game APIs or cache","category",,,,,,,,,104,0,52,0,0,0,0.00046606261505059915,0.00007764845047308417
"category:unbankable items","Unbankable items","category",,,,,,,,,11,0,5.5,0,0,0,0.00012193863022286642,0.00007764845047308417
"category:non-ge items","Non-GE items","category",,,,,,,,,108,0,54,0,0,0,0.0008187241299360455,0.00007764845047308417
"category:random events","Random events","category",,,,,,,,,65,0,32.5,0,0,0,0.000302244900779212,0.00007764845047308417
"category:unobtainable items","Unobtainable items","category",,,,,,,,,61,0,30.5,0,0,0,0.0002742356496965063,0.00007764845047308417
"page:adamant battleaxe","adamant battleaxe","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_battleaxe","2001-01-04",,"false","true","true",5,21,14,16,5,0,0.0001639125794866989,0.00021006592716722223
"page:adamant chainbody","Adamant chainbody","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_chainbody","2001-01-04",,"false","true","true",4,19,10,14,4,0,0.00014055464765640044,0.0007099996845791843
"category:body slot items","Body slot items","category",,,,,,,,,60,0,30,0,0,0,0.00027511513963198115,0.00007764845047308417
"category:chainbodies","Chainbodies","category",,,,,,,,,8,0,4,0,0,0,0.00010718831263826348,0.00007764845047308417
"category:melee armour","Melee armour","category",,,,,,,,,89,0,44.5,0,0,0,0.00026770462141034176,0.00007764845047308417
"slot:body","body","slot",,,,,,,,,60,0,120,0,0,0,0.000833936016962715,0.00007764845047308417
"page:adamant claws","Adamant claws","page","item","item","https://oldschool.runescape.wiki/w/Adamant_claws","2004-08-09",,"true","true","true",0,19,0,15,0,0,0.00008884151385506988,0.00007764845047308417
"combat_style:claw","Claw","combat_style",,,,,,,,,7,0,10.5,0,0,0,0.00011514598234357032,0.00007764845047308417
"page:adamant dagger","Adamant dagger","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_dagger","2001-01-04",,"false","true","true",10,26,13,18.5,10,0,0.00019635983069668986,0.0010446592257761299
"category:stab weapons","Stab weapons","category",,,,,,,,,26,0,13,0,0,0,0.00014434692225371383,0.00007764845047308417
"combat_style:stab sword","Stab Sword","combat_style",,,,,,,,,20,0,30,0,0,0,0.00022021244370785408,0.00007764845047308417
"page:adamant dart","Adamant dart","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_dart","2003-04-14",,"true","true","true",4,21,7,16,4,0,0.000165972750150251,0.0007347524970618296
"category:ranged weapons","Ranged weapons","category",,,,,,,,,51,0,25.5,0,0,0,0.00026337625919680904,0.00007764845047308417
"category:darts","Darts","category",,,,,,,,,7,0,3.5,0,0,0,0.00010380184650024138,0.00007764845047308417
"combat_style:thrown","Thrown","combat_style",,,,,,,,,22,0,33,0,0,0,0.00022131131216222903,0.00007764845047308417
"page:adamant dart tip","Adamant dart tip","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_dart_tip","2003-04-14",,"true","true","false",2,17,2,14.5,2,3,0.00015299429809608757,0.0007944524467479524
"page:adamant fire arrow","Adamant fire arrow","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_fire_arrow","2004-04-15",,"true","true","true",1,16,1,15.5,1,1,0.0000985890063015001,0.00009241522289155384
"page:adamant full helm","Adamant full helm","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_full_helm","2001-01-04",,"false","true","true",9,20,18,14.5,9,0,0.00024385965676687233,0.0038089236633347917
"category:head slot items","Head slot items","category",,,,,,,,,84,0,42,0,0,0,0.00031213775744696776,0.00007764845047308417
"category:helmets","Helmets","category",,,,,,,,,25,0,12.5,0,0,0,0.00014122062480646807,0.00007764845047308417
"slot:head","head","slot",,,,,,,,,84,0,168,0,0,0,0.0009820264882226617,0.00007764845047308417
"page:adamant full helm (g)","Adamant full helm (g)","page","item","item","https://oldschool.runescape.wiki/w/Adamant_full_helm_(g)","2004-05-05",,"false","true","true",0,20,0,18,0,1,0.00008884151385506988,0.00007764845047308417
"category:items storable in the costume room","Items storable in the costume room","category",,,,,,,,,85,0,42.5,0,0,0,0.00028304957233791237,0.00007764845047308417
"category:treasure trails rewards","Treasure Trails rewards","category",,,,,,,,,50,0,25,0,0,0,0.0001731656671875528,0.00007764845047308417
"category:medium clue rewards","Medium clue rewards","category",,,,,,,,,13,0,6.5,0,0,0,0.00011570253004095934,0.00007764845047308417
"category:collection log items","Collection log items","category",,,,,,,,,77,0,38.5,0,0,0,0.00025204727872659316,0.00007764845047308417
"page:adamant full helm (t)","Adamant full helm (t)","page","item","item","https://oldschool.runescape.wiki/w/Adamant_full_helm_(t)","2004-05-05",,"false","true","true",0,20,0,18,0,1,0.00008884151385506988,0.00007764845047308417
"page:adamant javelin","Adamant javelin","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_javelin","2004-03-29",,"true","true","true",6,18,6,13.5,6,0,0.0001554575885431901,0.000781938888065896
"category:javelins","Javelins","category",,,,,,,,,6,0,3,0,0,0,0.00010333847083971508,0.00007764845047308417
